Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-02 00:00:00-05:00,27.335579450482328,28.07276320205087,27.315655103120662,27.893447875976562,69846400,0.0,0.0
2013-01-03 00:00:00-05:00,27.773903917963096,28.361658869283875,27.48500847922885,27.664323806762695,63140600,0.0,0.0
2013-01-04 00:00:00-05:00,27.903410623710744,28.819909720208607,27.724095293947407,28.650556564331055,72715400,0.0,0.0
2013-01-07 00:00:00-05:00,28.58082285083091,29.676637261894157,28.540974155840438,29.30804443359375,83781800,0.0,0.0
2013-01-08 00:00:00-05:00,29.397703547211037,29.487361215271406,28.750177422400927,28.94941520690918,45871300,0.0,0.0
2013-01-09 00:00:00-05:00,29.557093656425575,30.483554932121617,29.377778325634033,30.47359275817871,104787700,0.0,0.0
2013-01-10 00:00:00-05:00,30.483554074077148,31.330319834485746,30.164772117238694,31.180889129638672,95316400,0.0,0.0
2013-01-11 00:00:00-05:00,31.16096660821421,31.838377314837928,30.98165128289692,31.59929084777832,89598000,0.0,0.0
2013-01-14 00:00:00-05:00,31.95792486383472,32.08742742680573,30.50347974742012,30.832223892211914,98892800,0.0,0.0
2013-01-15 00:00:00-05:00,30.523400537989787,31.58932840715549,29.766292448654724,29.985456466674805,173242600,0.0,0.0
2013-01-16 00:00:00-05:00,30.095038916398714,30.234507456920408,29.417628162811,29.73641014099121,75332700,0.0,0.0
2013-01-17 00:00:00-05:00,29.965531746469942,30.304238042747144,29.915722779407535,30.02530288696289,40256700,0.0,0.0
2013-01-18 00:00:00-05:00,30.194660568904503,30.324166942856944,29.158619077737914,29.547134399414062,49631500,0.0,0.0
2013-01-22 00:00:00-05:00,29.636787886442928,30.772449066331507,29.62682571292404,30.61305809020996,55243300,0.0,0.0
2013-01-23 00:00:00-05:00,30.981655844776235,31.38013334854921,30.68279629187854,30.702720642089844,48899800,0.0,0.0
2013-01-24 00:00:00-05:00,31.151006561562532,31.37016869630895,30.692756043341237,30.961729049682617,43845100,0.0,0.0
2013-01-25 00:00:00-05:00,31.290472731349873,31.808494387605442,31.011537554883695,31.419979095458984,54363600,0.0,0.0
2013-01-28 00:00:00-05:00,31.758686250241134,32.3862880761949,31.688952925145227,32.34644317626953,59682500,0.0,0.0
2013-01-29 00:00:00-05:00,31.878227036799252,31.94796035442779,30.59313509733489,30.672832489013672,72976500,0.0,0.0
2013-01-30 00:00:00-05:00,30.862107725936195,31.370167191287212,30.762487887616125,31.121118545532227,87682100,0.0,0.0
2013-01-31 00:00:00-05:00,29.0390721898578,31.350243356241695,28.630632556148086,30.86210823059082,190744900,0.0,0.0
2013-02-01 00:00:00-05:00,30.891994936834475,30.901957110897833,29.517245317537903,29.616865158081055,85856700,0.0,0.0
2013-02-04 00:00:00-05:00,28.949414505671115,29.08888304154806,27.90341093709127,28.00303077697754,92362200,0.0,0.0
2013-02-05 00:00:00-05:00,28.152460366821085,28.849795465166217,27.933298233070982,28.53101348876953,47948200,0.0,0.0
2013-02-06 00:00:00-05:00,28.630633322968144,29.178541507317426,28.55093782889249,28.939453125,38375900,0.0,0.0
2013-02-07 00:00:00-05:00,28.99922608533379,29.039072882209197,28.16242244995534,28.54097557067871,34540100,0.0,0.0
2013-02-08 00:00:00-05:00,28.780062993865744,29.05899818148194,28.401509860756384,28.441356658935547,37708800,0.0,0.0
2013-02-11 00:00:00-05:00,28.50112666318718,28.57085997762296,27.9332960741069,28.15245819091797,37361800,0.0,0.0
2013-02-12 00:00:00-05:00,27.564703863794396,28.052838975719133,26.996873262169505,27.265846252441406,93498700,0.0,0.0
